n,probability,1/sqrt(ln(n)),ratio,original_success,inverted_success,both_success,none_success
683,0.32638,0.391435,0.833803,0.32726,0.3255,0,0.34724
684,0.3249,0.391391,0.830115,0.32556,0.32424,0,0.3502
685,0.32666,0.391348,0.834705,0.32796,0.32536,0,0.34668
686,0.32321,0.391304,0.825982,0.32282,0.3236,0,0.35358
687,0.32556,0.39126,0.83208,0.32302,0.3281,0,0.34888
688,0.3245,0.391217,0.829463,0.32446,0.32454,0,0.351
689,0.32238,0.391173,0.824136,0.3209,0.32386,0,0.35524
690,0.32502,0.39113,0.830977,0.32532,0.32472,0,0.34996
691,0.32557,0.391087,0.832476,0.32518,0.32596,0,0.34886
692,0.32379,0.391043,0.828016,0.3217,0.32588,0,0.35242
693,0.32476,0.391,0.830588,0.32516,0.32436,0,0.35048
694,0.32533,0.390957,0.832137,0.3257,0.32496,0,0.34934
695,0.32434,0.390914,0.829696,0.32438,0.3243,0,0.35132
696,0.32646,0.390871,0.835211,0.33084,0.32208,0,0.34708
697,0.32476,0.390828,0.830953,0.32584,0.32368,0,0.35048
698,0.32553,0.390785,0.833015,0.32506,0.326,0,0.34894
699,0.323,0.390743,0.826631,0.32116,0.32484,0,0.354
700,0.32394,0.3907,0.829127,0.32194,0.32594,0,0.35212
701,0.32488,0.390658,0.831623,0.32392,0.32584,0,0.35024
702,0.32393,0.390615,0.829282,0.3241,0.32376,0,0.35214
703,0.32499,0.390573,0.832086,0.32284,0.32714,0,0.35002
704,0.3243,0.39053,0.830409,0.323,0.3256,0,0.3514
705,0.32361,0.390488,0.828732,0.32326,0.32396,0,0.35278
706,0.32421,0.390446,0.830358,0.32542,0.323,0,0.35158
707,0.32311,0.390404,0.82763,0.32582,0.3204,0,0.35378
708,0.32404,0.390362,0.830102,0.32788,0.3202,0,0.35192
709,0.32214,0.39032,0.825323,0.31976,0.32452,0,0.35572
710,0.32678,0.390278,0.837301,0.32726,0.3263,0,0.34644
711,0.3253,0.390236,0.833598,0.3265,0.3241,0,0.3494
712,0.32211,0.390194,0.825512,0.32078,0.32344,0,0.35578
713,0.3222,0.390153,0.825831,0.32404,0.32036,0,0.3556
714,0.32422,0.390111,0.831097,0.32122,0.32722,0,0.35156
715,0.32458,0.390069,0.832108,0.3226,0.32656,0,0.35084
716,0.32279,0.390028,0.827607,0.32404,0.32154,0,0.35442
717,0.32446,0.389987,0.831977,0.3233,0.32562,0,0.35108
718,0.32286,0.389945,0.827962,0.32556,0.32016,0,0.35428
719,0.32229,0.389904,0.826588,0.32266,0.32192,0,0.35542
720,0.32189,0.389863,0.825649,0.32556,0.31822,0,0.35622
721,0.32286,0.389822,0.828225,0.32412,0.3216,0,0.35428
722,0.32232,0.389781,0.826927,0.3221,0.32254,0,0.35536
723,0.32221,0.38974,0.826731,0.3218,0.32262,0,0.35558
724,0.32345,0.389699,0.83,0.32242,0.32448,0,0.3531
725,0.32295,0.389658,0.828804,0.32272,0.32318,0,0.3541
726,0.32266,0.389617,0.828146,0.31948,0.32584,0,0.35468
727,0.32379,0.389576,0.831133,0.32372,0.32386,0,0.35242
728,0.32316,0.389536,0.829603,0.3233,0.32302,0,0.35368
729,0.32321,0.389495,0.829818,0.3212,0.32522,0,0.35358
730,0.32286,0.389455,0.829005,0.32084,0.32488,0,0.35428
731,0.32206,0.389414,0.827037,0.32022,0.3239,0,0.35588
732,0.32218,0.389374,0.827431,0.3219,0.32246,0,0.35564
733,0.32273,0.389334,0.828929,0.3223,0.32316,0,0.35454
734,0.32084,0.389293,0.82416,0.31908,0.3226,0,0.35832
