n,probability,1/sqrt(ln(n)),ratio
393,0.34164,0.409142,0.835015
394,0.34426,0.409055,0.841598
395,0.34365,0.408969,0.840285
396,0.34398,0.408882,0.841269
397,0.34479,0.408796,0.843428
398,0.34395,0.40871,0.84155
399,0.3434,0.408624,0.840381
400,0.34376,0.408539,0.841437
401,0.33972,0.408454,0.831722
402,0.34352,0.408369,0.8412
403,0.34553,0.408284,0.846297
404,0.34206,0.4082,0.837971
405,0.34199,0.408116,0.837972
406,0.34089,0.408032,0.835449
407,0.34233,0.407949,0.839149
408,0.33991,0.407866,0.833387
409,0.34227,0.407782,0.839345
410,0.34052,0.4077,0.835223
411,0.34068,0.407617,0.835784
412,0.3424,0.407535,0.840173
413,0.3435,0.407453,0.843042
414,0.34386,0.407371,0.844095
415,0.34088,0.40729,0.836947
416,0.3433,0.407208,0.843057
417,0.3405,0.407127,0.836348
418,0.33882,0.407047,0.832386
419,0.34031,0.406966,0.836212
420,0.33874,0.406886,0.832519
421,0.33993,0.406806,0.835608
422,0.34091,0.406726,0.838182
423,0.33978,0.406646,0.835567
424,0.33897,0.406567,0.833738
425,0.3405,0.406488,0.837664
426,0.33979,0.406409,0.836079
427,0.34274,0.40633,0.843501
428,0.34037,0.406252,0.83783
429,0.34111,0.406173,0.839814
430,0.34147,0.406095,0.840861
431,0.34269,0.406018,0.844027
432,0.33766,0.40594,0.831798
433,0.341,0.405863,0.840185
434,0.34014,0.405786,0.838226
435,0.34222,0.405709,0.843511
436,0.33952,0.405632,0.837014
437,0.33912,0.405556,0.836186
438,0.33978,0.40548,0.837971
439,0.33775,0.405404,0.83312
440,0.33939,0.405328,0.837322
441,0.33847,0.405252,0.835208
442,0.33842,0.405177,0.83524
443,0.33753,0.405102,0.833198
444,0.34121,0.405027,0.842438
445,0.34169,0.404952,0.843779
446,0.34007,0.404878,0.839933
447,0.33715,0.404803,0.832874
448,0.33986,0.404729,0.839722
449,0.33926,0.404655,0.838393
450,0.34098,0.404582,0.842797
451,0.3365,0.404508,0.831875
452,0.34241,0.404435,0.846638
453,0.34118,0.404362,0.843749
454,0.34098,0.404289,0.843407
455,0.3383,0.404216,0.836928
456,0.33767,0.404144,0.83552
457,0.33898,0.404071,0.838911
458,0.33766,0.403999,0.835793
459,0.33464,0.403927,0.828466
460,0.34085,0.403856,0.843989
461,0.33705,0.403784,0.834728
462,0.34033,0.403713,0.843
463,0.33877,0.403642,0.839284
464,0.3341,0.403571,0.827859
465,0.33697,0.4035,0.835117
466,0.3401,0.40343,0.843022
467,0.33771,0.403359,0.837244
468,0.33764,0.403289,0.837216
469,0.33578,0.403219,0.832748
470,0.33704,0.403149,0.836018
471,0.33613,0.40308,0.833904
472,0.33685,0.40301,0.835835
473,0.33649,0.402941,0.835085
474,0.33467,0.402872,0.83071
475,0.33799,0.402803,0.839095
476,0.33858,0.402734,0.840703
477,0.3367,0.402666,0.836177
478,0.33925,0.402598,0.842653
479,0.33548,0.402529,0.83343
480,0.3364,0.402461,0.835857
481,0.33438,0.402394,0.830978
482,0.33658,0.402326,0.836585
483,0.33585,0.402258,0.834911
484,0.33831,0.402191,0.841167
485,0.33813,0.402124,0.84086
486,0.33531,0.402057,0.833986
487,0.33506,0.40199,0.833503
488,0.33517,0.401924,0.833915
489,0.33547,0.401857,0.834799
490,0.335,0.401791,0.833767
491,0.33471,0.401725,0.833182
492,0.33748,0.401659,0.840215
493,0.33557,0.401593,0.835597
494,0.33713,0.401528,0.839619
495,0.33709,0.401462,0.839656
496,0.33712,0.401397,0.839867
497,0.33558,0.401332,0.836166
498,0.33519,0.401267,0.83533
499,0.33724,0.401202,0.840574
500,0.33401,0.401137,0.832657
501,0.33481,0.401073,0.834786
502,0.3317,0.401009,0.827164
503,0.3336,0.400944,0.832035
504,0.33559,0.40088,0.837132
505,0.33558,0.400817,0.837241
506,0.33316,0.400753,0.831335
507,0.33445,0.400689,0.834686
508,0.33624,0.400626,0.839286
509,0.33395,0.400563,0.833702
510,0.33487,0.4005,0.83613
511,0.33433,0.400437,0.834913
512,0.33412,0.400374,0.834519
513,0.33095,0.400312,0.826731
514,0.33663,0.400249,0.841051
515,0.33487,0.400187,0.836784
516,0.33164,0.400125,0.828842
517,0.3365,0.400063,0.841118
518,0.33575,0.400001,0.839373
519,0.33202,0.399939,0.830176
520,0.33175,0.399878,0.829629
521,0.33288,0.399816,0.832583
522,0.33192,0.399755,0.830309
523,0.33431,0.399694,0.836415
524,0.33353,0.399633,0.834591
525,0.33492,0.399572,0.838197
526,0.33494,0.399511,0.838374
527,0.33452,0.399451,0.83745
