n,probability,1/sqrt(ln(n)),ratio
1076,0.07094,0.378478,0.187435
1077,0.06919,0.378453,0.182823
1078,0.06779,0.378428,0.179136
1079,0.06936,0.378403,0.183297
1080,0.0699,0.378378,0.184736
1081,0.06906,0.378353,0.182528
1082,0.06933,0.378328,0.183254
1083,0.06851,0.378303,0.181098
1084,0.06847,0.378278,0.181005
1085,0.06986,0.378253,0.184691
1086,0.06885,0.378228,0.182033
1087,0.06844,0.378203,0.180961
1088,0.06889,0.378178,0.182163
1089,0.06882,0.378153,0.18199
1090,0.07009,0.378128,0.18536
1091,0.06843,0.378104,0.180982
1092,0.06922,0.378079,0.183084
1093,0.06851,0.378054,0.181217
1094,0.06852,0.378029,0.181256
1095,0.06929,0.378005,0.183305
1096,0.06814,0.37798,0.180274
1097,0.06898,0.377955,0.182508
1098,0.06752,0.377931,0.178657
1099,0.07009,0.377906,0.185469
1100,0.06902,0.377882,0.18265
1101,0.06898,0.377857,0.182556
1102,0.06918,0.377833,0.183097
1103,0.06871,0.377808,0.181865
1104,0.06781,0.377784,0.179494
1105,0.06886,0.377759,0.182285
1106,0.06927,0.377735,0.183382
1107,0.06772,0.377711,0.179291
1108,0.06965,0.377686,0.184412
1109,0.06835,0.377662,0.180982
1110,0.06863,0.377638,0.181735
1111,0.06947,0.377614,0.183971
1112,0.06792,0.377589,0.179878
1113,0.06917,0.377565,0.1832
1114,0.06788,0.377541,0.179795
1115,0.06864,0.377517,0.18182
1116,0.06838,0.377493,0.181143
1117,0.06811,0.377469,0.180439
1118,0.06771,0.377445,0.179391
1119,0.06775,0.377421,0.179508
1120,0.0697,0.377397,0.184686
1121,0.06884,0.377373,0.182419
1122,0.0679,0.377349,0.17994
1123,0.06891,0.377325,0.182628
1124,0.06798,0.377301,0.180175
1125,0.06851,0.377277,0.181591
1126,0.06788,0.377253,0.179932
1127,0.06874,0.377229,0.182223
1128,0.06916,0.377205,0.183348
1129,0.06789,0.377182,0.179993
1130,0.06918,0.377158,0.183425
1131,0.06605,0.377134,0.175137
1132,0.06741,0.37711,0.178754
1133,0.06902,0.377087,0.183035
1134,0.06917,0.377063,0.183444
1135,0.06895,0.377039,0.182872
1136,0.06802,0.377016,0.180417
1137,0.06752,0.376992,0.179102
1138,0.06842,0.376969,0.1815
1139,0.06731,0.376945,0.178567
1140,0.06897,0.376922,0.182982
1141,0.06855,0.376898,0.181879
1142,0.0692,0.376875,0.183615
1143,0.06779,0.376851,0.179885
1144,0.06917,0.376828,0.183559
1145,0.0673,0.376805,0.178607
1146,0.0703,0.376781,0.18658
1147,0.06793,0.376758,0.180301
1148,0.06793,0.376735,0.180313
1149,0.06805,0.376711,0.180642
1150,0.06704,0.376688,0.177972
1151,0.06643,0.376665,0.176364
1152,0.0674,0.376642,0.17895
1153,0.06787,0.376619,0.180209
1154,0.06797,0.376595,0.180485
1155,0.06839,0.376572,0.181612
1156,0.06702,0.376549,0.177985
1157,0.06711,0.376526,0.178235
1158,0.06702,0.376503,0.178007
